Ordinance,Permit Number,Address,City,State,Unit,Unit Type,Vacation Rental or Homestay,Type of Registration,Number of Bedrooms,Maximum Number of Guests,Permit Issue Date,Registration Renewal Date,Civic League,Ward,Superward,Latitude,Longitude,Norfolk AIR Link,Location Point
49616.0,ZP24-00621,2333 DOMINION AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,06/11/2024,06/11/2026,Roosevelt Area,5,6,36.9168344,-76.21693785,https://air.norfolk.gov/#/property/05590740,POINT (-76.21693785 36.9168344)
,ZP25-01739,1139 HILLSIDE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,07/14/2025,07/14/2027,Bayview,5,6,36.94448595,-76.23875535,https://air.norfolk.gov/#/property/25538250,POINT (-76.23875535 36.94448595)
,ZP24-00785,912 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,09/03/2024,09/03/2026,Willoughby,1,6,36.96559728,-76.27619877,https://air.norfolk.gov/#/property/15863000,POINT (-76.27619877 36.96559728)
49427.0,ZP24-00818,9512 18TH BAY STREET,Norfolk,Virginia,B,duplex,Vacation Rental,CUP,3,6,12/05/2023,12/05/2025,East Ocean View,5,6,36.92730543,-76.19672313,https://air.norfolk.gov/#/property/05360500,POINT (-76.19672313 36.92730543)
49986.0,STR25-00041,9527 18TH BAY STREET,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,05/20/2025,05/20/2027,East Ocean View,5,6,36.92802024,-76.19757795,https://air.norfolk.gov/#/property/16558230,POINT (-76.19757795 36.92802024)
49316.0,ZP23-00937,9609 19TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,09/12/2023,09/12/2028,East Ocean View,5,6,36.92950174,-76.19558068,https://air.norfolk.gov/#/property/00011132,POINT (-76.19558068 36.92950174)
50015.0,STR25-00047,7936 THOMPSON ROAD,Norfolk,Virginia,B,duplex,Vacation Rental,CUP,2,4,06/24/2025,06/24/2029,East Ocean View,5,6,36.91936279,-76.19564962,https://air.norfolk.gov/#/property/18527580,POINT (-76.19564962 36.91936279)
,ZP24-00086,2008 PARKVIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,02/05/2024,02/05/2026,Bayview,5,6,36.93502995,-76.21931921,https://air.norfolk.gov/#/property/26207500,POINT (-76.21931921 36.93502995)
,ZP24-00533,2048 KERSEY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,06/06/2024,06/06/2026,Bayview,5,6,36.93510404,-76.21733275,https://air.norfolk.gov/#/property/46907300,POINT (-76.21733275 36.93510404)
,ZP25-00706,1051 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,03/31/2025,03/31/2027,Willoughby,1,6,36.96680094,-76.27994109,https://air.norfolk.gov/#/property/00000599,POINT (-76.27994109 36.96680094)
49919.0,ZP25-01058,3109 PLEASANT AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,04/08/2025,04/08/2030,East Ocean View,5,6,36.93078226,-76.20435009,https://air.norfolk.gov/#/property/00940279,POINT (-76.20435009 36.93078226)
49496.0,ZP24-00237,9563 20TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,02/27/2024,02/27/2026,East Ocean View,5,6,36.92809948,-76.19472811,https://air.norfolk.gov/#/property/03627700,POINT (-76.19472811 36.92809948)
49432.0,ZP24-00347,2450 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,12/05/2023,12/05/2025,East Ocean View,5,6,36.93482996,-76.21103923,https://air.norfolk.gov/#/property/31308100,POINT (-76.21103923 36.93482996)
,ZP24-00717,9721 13TH VIEW STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,08/08/2024,08/08/2026,Willoughby,1,6,36.96798548,-76.2884852,https://air.norfolk.gov/#/property/06281345,POINT (-76.2884852 36.96798548)
49970.0,ZP25-01540,1238 VIRGILINA AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,2,4,05/20/2025,05/20/2027,Bayview,5,6,36.94296123,-76.23736319,https://air.norfolk.gov/#/property/04633000,POINT (-76.23736319 36.94296123)
49565.0,ZP24-00399,9615 17TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,04/23/2024,04/23/2029,East Ocean View,5,6,36.93003201,-76.19808314,https://air.norfolk.gov/#/property/46426200,POINT (-76.19808314 36.93003201)
,ZP24-01011,9600 18TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,11/15/2024,11/15/2026,East Ocean View,5,6,36.92933208,-76.19639307,https://air.norfolk.gov/#/property/49407500,POINT (-76.19639307 36.92933208)
,ZP25-01619,1667 E BAYVIEW BOULEVARD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,1,2,06/27/2025,06/27/2027,Bayview,5,6,36.9337582,-76.22907122,https://air.norfolk.gov/#/property/42052005,POINT (-76.22907122 36.9337582)
,ZP25-00565,6361 GLENOAK DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/31/2025,03/31/2027,Greenhill Farms,3,7,36.89634772,-76.2514389,https://air.norfolk.gov/#/property/04267800,POINT (-76.2514389 36.89634772)
47348.0,ZP25-00279,1333 BAYVILLE STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,07/23/2018,,Willoughby,1,6,36.96455702,-76.28945853,https://air.norfolk.gov/#/property/24783055,POINT (-76.28945853 36.96455702)
,ZP24-00931,3218 PRETTY LAKE AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,administrative,3,6,10/23/2024,10/23/2026,East Ocean View,5,6,36.92936359,-76.20361443,https://air.norfolk.gov/#/property/21876232,POINT (-76.20361443 36.92936359)
49708.0,ZP24-00893,241 W OCEAN VIEW AVENUE,Norfolk,Virginia,2,duplex,Vacation Rental,CUP,3,6,10/11/2024,10/11/2026,Ocean View,5,6,36.95676079,-76.25522579,https://air.norfolk.gov/#/property/08524912,POINT (-76.25522579 36.95676079)
,ZP23-01003,9613 10TH BAY STREET,Norfolk,Virginia,,duplex,Vacation Rental,administrative,2,4,10/26/2023,10/26/2025,East Ocean View,5,6,36.93199741,-76.20617422,https://air.norfolk.gov/#/property/39471950,POINT (-76.20617422 36.93199741)
,ZP24-00370,763 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/07/2024,05/07/2026,Willoughby,1,6,36.96452382,-76.27096264,https://air.norfolk.gov/#/property/35728300,POINT (-76.27096264 36.96452382)
49851.0,ZP25-00600,9537 19TH BAY STREET,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,02/11/2025,02/11/2027,East Ocean View,5,6,36.92746291,-76.19611467,https://air.norfolk.gov/#/property/44824301,POINT (-76.19611467 36.92746291)
,ZP25-00274,9712 15TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/20/2025,05/20/2027,East Ocean View,5,6,36.93213968,-76.19941682,https://air.norfolk.gov/#/property/20241950,POINT (-76.19941682 36.93213968)
,ZP24-00794,843 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,09/09/2024,09/09/2026,Willoughby,1,6,36.96465397,-76.27451267,https://air.norfolk.gov/#/property/43605105,POINT (-76.27451267 36.96465397)
49791.0,ZP24-01038,209 W 28TH STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,11/12/2024,11/12/2029,Park Place,2,7,36.87272164,-76.28474524,https://air.norfolk.gov/#/property/10898800,POINT (-76.28474524 36.87272164)
,ZP25-00455,1000 E OCEAN VIEW AVENUE,Norfolk,Virginia,,mixed-use,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,Cottage Line,5,6,36.94753175,-76.23981139,https://air.norfolk.gov/#/property/30561700,POINT (-76.23981139 36.94753175)
,ZP25-01050,8109 COLIN DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/30/2025,04/30/2027,Crossroads,5,6,36.91977269,-76.2506426,https://air.norfolk.gov/#/property/61189750,POINT (-76.2506426 36.91977269)
,ZP25-01210,1365 HAMMOND COURT,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/12/2025,05/12/2027,Bayview,5,6,36.93257347,-76.23879096,https://air.norfolk.gov/#/property/42454800,POINT (-76.23879096 36.93257347)
,ZP23-00989,2416 SABAN AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/24/2023,10/23/2025,Roosevelt Area,5,6,36.92457268,-76.20944725,https://air.norfolk.gov/#/property/02967400,POINT (-76.20944725 36.92457268)
,ZP24-00930,3216 PRETTY LAKE AVENUE,Norfolk,Virginia,B,duplex,Vacation Rental,administrative,3,6,10/23/2024,10/23/2026,East Ocean View,5,6,36.92941058,-76.20381599,https://air.norfolk.gov/#/property/21876231,POINT (-76.20381599 36.92941058)
,STR25-00030,244 BURGOYNE ROAD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/23/2025,07/23/2027,Ocean View,5,6,36.94506119,-76.2673663,https://air.norfolk.gov/#/property/48594800,POINT (-76.2673663 36.94506119)
,ZP24-00315,1533 KINGSTON AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/16/2024,04/16/2026,Bayview,5,6,36.93977345,-76.22993728,https://air.norfolk.gov/#/property/31757200,POINT (-76.22993728 36.93977345)
,ZP25-00454,567 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,Willoughby,1,6,36.96220022,-76.26532723,https://air.norfolk.gov/#/property/22169832,POINT (-76.26532723 36.96220022)
49918.0,ZP25-01108,9608 11TH BAY STREET,Norfolk,Virginia,B,duplex,Vacation Rental,CUP,3,6,04/08/2025,04/08/2027,East Ocean View,5,6,36.9314328,-76.20457698,https://air.norfolk.gov/#/property/28511500,POINT (-76.20457698 36.9314328)
49711.0,ZP24-00891,9608 19TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,10/11/2024,10/11/2029,East Ocean View,5,6,36.92942184,-76.19507473,https://air.norfolk.gov/#/property/11420000,POINT (-76.19507473 36.92942184)
49982.0,ZP25-01490,1436 E OCEAN VIEW AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,3,6,05/20/2025,05/20/2027,Cottage Line,5,6,36.94221625,-76.2309005,https://air.norfolk.gov/#/property/02407400,POINT (-76.2309005 36.94221625)
,ZP24-00559,2150 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,06/27/2024,06/27/2026,East Ocean View,5,6,36.93618532,-76.21411264,https://air.norfolk.gov/#/property/36203300,POINT (-76.21411264 36.93618532)
,ZP23-01144,1805 E BAYVIEW BOULEVARD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,12/14/2023,12/14/2025,Bayview,5,6,36.93351365,-76.22836475,https://air.norfolk.gov/#/property/37808010,POINT (-76.22836475 36.93351365)
,ZP25-00159,2017 KINGSTON AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,01/23/2025,01/23/2027,Bayview,5,6,36.93586178,-76.21868497,https://air.norfolk.gov/#/property/30485200,POINT (-76.21868497 36.93586178)
,ZP24-00560,1310 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,06/27/2024,06/27/2026,Willoughby,1,6,36.96631182,-76.28864984,https://air.norfolk.gov/#/property/19607901,POINT (-76.28864984 36.96631182)
,ZP24-001793,5977 MONACO COURT,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,09/09/2024,09/09/2026,Lake Taylor,4,7,36.85883257,-76.19977317,https://air.norfolk.gov/#/property/25351600,POINT (-76.19977317 36.85883257)
49795.0,ZP25-00072,3201 PRETTY LAKE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,11/19/2024,11/19/2029,East Ocean View,5,6,36.92895135,-76.20440559,https://air.norfolk.gov/#/property/00000764,POINT (-76.20440559 36.92895135)
49292.0,ZP23-00890,4046 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,09/29/2023,09/29/2028,East Ocean View,5,6,36.93077788,-76.19282456,https://air.norfolk.gov/#/property/20616252,POINT (-76.19282456 36.93077788)
49566.0,ZP24-00538,9287 1ST VIEW STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,2,4,04/23/2024,04/23/2029,Ocean View,5,6,36.94878639,-76.2625912,https://air.norfolk.gov/#/property/29226100,POINT (-76.2625912 36.94878639)
,ZP25-01099,9626 11TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/29/2025,04/29/2027,East Ocean View,5,6,36.93190777,-76.2042869,https://air.norfolk.gov/#/property/22113400,POINT (-76.2042869 36.93190777)
49512.0,ZP24-00272,753 W OCEAN VIEW AVENUE,Norfolk,Virginia,B,duplex,Vacation Rental,CUP,2,4,03/12/2024,03/12/2026,Willoughby,1,6,36.96437308,-76.2706651,https://air.norfolk.gov/#/property/43765400,POINT (-76.2706651 36.96437308)
,ZP25-01519,3234 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,06/12/2025,06/12/2027,East Ocean View,5,6,36.93294112,-76.2022439,https://air.norfolk.gov/#/property/27876401,POINT (-76.2022439 36.93294112)
49426.0,ZP24-00048,9407 CHESAPEAKE STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,2,4,12/05/2023,12/05/2025,Bayview,5,6,36.94402297,-76.24438187,https://air.norfolk.gov/#/property/36171900,POINT (-76.24438187 36.94402297)
,ZP24-00870,9544 16TH BAY STREET,Norfolk,Virginia,B,duplex,Vacation Rental,administrative,1,2,10/08/2024,10/08/2026,East Ocean View,5,6,36.9284481,-76.19923982,https://air.norfolk.gov/#/property/10113200,POINT (-76.19923982 36.9284481)
49233.0,ZP23-00640,2004 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,06/27/2023,06/27/2028,Cottage Line,5,6,36.93751545,-76.21848221,https://air.norfolk.gov/#/property/32566100,POINT (-76.21848221 36.93751545)
,ZP24-00505,1623 MODOC AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/31/2024,05/31/2026,Bayview,5,6,36.93696594,-76.22945668,https://air.norfolk.gov/#/property/27850400,POINT (-76.22945668 36.93696594)
,ZP24-01012,3808 PLEASANT AVENUE,Norfolk,Virginia,ADU/ smaller unit,single-family,Vacation Rental,administrative,1,2,11/15/2024,11/15/2026,East Ocean View,5,6,36.9293273,-76.19612714,https://air.norfolk.gov/#/property/49407500,POINT (-76.19612714 36.9293273)
,ZP25-00444,1965 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,Cottage Line,5,6,36.93709845,-76.21977872,https://air.norfolk.gov/#/property/04411575,POINT (-76.21977872 36.93709845)
,ZP24-00423,4201 HACIENDA STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/14/2024,05/14/2026,East Ocean View,5,6,36.92010917,-76.19440772,https://air.norfolk.gov/#/property/61607400,POINT (-76.19440772 36.92010917)
49495.0,ZP24-00201,9555 15TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,02/27/2024,02/27/2026,East Ocean View,5,6,36.92948291,-76.20078121,https://air.norfolk.gov/#/property/17496700,POINT (-76.20078121 36.92948291)
,ZP24-00756,9626 ATLANS STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,08/23/2024,08/23/2026,Bayview,5,6,36.94551199,-76.23959111,https://air.norfolk.gov/#/property/31717200,POINT (-76.23959111 36.94551199)
,ZP25-00627,625 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,03/31/2025,03/31/2027,Willoughby,1,6,36.9633099,-76.26711686,https://air.norfolk.gov/#/property/29739800,POINT (-76.26711686 36.9633099)
,STR25-00058,757 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,08/21/2025,08/21/2027,Willoughby,1,6,36.96447377,-76.27078609,https://air.norfolk.gov/#/property/40031598,POINT (-76.27078609 36.96447377)
,ZP24-00108,8511 WAYLAND STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,02/08/2024,02/08/2026,Bayview,5,6,36.93091105,-76.24233631,https://air.norfolk.gov/#/property/28459800,POINT (-76.24233631 36.93091105)
,ZP23-01004,9619 10TH BAY STREET,Norfolk,Virginia,A,duplex,Vacation Rental,administrative,2,4,10/26/2023,10/26/2025,East Ocean View,5,6,36.93212583,-76.20607164,https://air.norfolk.gov/#/property/39471970,POINT (-76.20607164 36.93212583)
,ZP25-00802,9621 12TH BAY STREET,Norfolk,Virginia,A,duplex,Vacation Rental,administrative,3,6,03/31/2025,03/31/2027,East Ocean View,5,6,36.93168773,-76.20374823,https://air.norfolk.gov/#/property/26479752,POINT (-76.20374823 36.93168773)
,ZP24-00932,1106 TOLER PLACE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/23/2024,10/23/2026,Willoughby,1,6,36.96818795,-76.28165222,https://air.norfolk.gov/#/property/19508710,POINT (-76.28165222 36.96818795)
49568.0,ZP24-00450,900 W OCEAN VIEW AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,04/23/2024,04/23/2034,Willoughby,1,6,36.96649539,-76.27520173,https://air.norfolk.gov/#/property/31864005,POINT (-76.27520173 36.96649539)
,ZP25-01339,542 W OCEAN VIEW AVENUE,Norfolk,Virginia,B,duplex,Vacation Rental,administrative,2,4,05/21/2025,05/21/2027,Willoughby,1,6,36.96242122,-76.26453477,https://air.norfolk.gov/#/property/14139200,POINT (-76.26453477 36.96242122)
,ZP25-01861,1404 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/28/2025,07/28/2027,Willoughby,1,6,36.96737351,-76.29122715,https://air.norfolk.gov/#/property/20961004,POINT (-76.29122715 36.96737351)
,ZP24-00618,1155 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/02/2024,07/02/2026,Willoughby,1,6,36.96578712,-76.28391635,https://air.norfolk.gov/#/property/25159780,POINT (-76.28391635 36.96578712)
,ZP25-00452,251 PORTVIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,Ocean View,5,6,36.95634827,-76.25633128,https://air.norfolk.gov/#/property/13751650,POINT (-76.25633128 36.95634827)
,ZP23-00993,949 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/24/2023,10/23/2025,Willoughby,1,6,36.96554921,-76.27786147,https://air.norfolk.gov/#/property/32320450,POINT (-76.27786147 36.96554921)
,ZP25-00911,1130 TOLER PLACE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/24/2025,04/24/2027,Willoughby,1,6,36.96797812,-76.28287209,https://air.norfolk.gov/#/property/02932100,POINT (-76.28287209 36.96797812)
,ZP25-01207,8624 GRANBY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,05/12/2025,05/12/2027,Northside,1,6,36.93491951,-76.26364854,https://air.norfolk.gov/#/property/38533900,POINT (-76.26364854 36.93491951)
49792.0,ZP24-01037,4040 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,11/12/2024,11/12/2029,East Ocean View,5,6,36.93080733,-76.19299027,https://air.norfolk.gov/#/property/20616246,POINT (-76.19299027 36.93080733)
,ZP25-01051,2757 HEUTTE DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,04/30/2025,04/30/2027,Camellia Shores and Camellia Acres,5,6,36.91329538,-76.20507269,https://air.norfolk.gov/#/property/37303300,POINT (-76.20507269 36.91329538)
,ZP24-00543,1125 HILLSIDE AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,06/12/2024,06/12/2026,Bayview,5,6,36.94474392,-76.23916011,https://air.norfolk.gov/#/property/12167400,POINT (-76.23916011 36.94474392)
49425.0,ZP23-01143,9611 19TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,12/05/2023,12/05/2025,East Ocean View,5,6,36.92959544,-76.19551841,https://air.norfolk.gov/#/property/00011133,POINT (-76.19551841 36.92959544)
,ZP25-01778,627 W OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/16/2025,07/16/2027,Willoughby,1,6,36.96315896,-76.26724456,https://air.norfolk.gov/#/property/61514200,POINT (-76.26724456 36.96315896)
49788.0,ZP25-00602,9622 20TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,11/12/2024,11/24/2029,East Ocean View,5,6,36.92983996,-76.19370443,https://air.norfolk.gov/#/property/50000913,POINT (-76.19370443 36.92983996)
,ZP24-00817,9505 BEAUMONT STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,09/20/2024,09/20/2026,Bayview,5,6,36.93736857,-76.23078788,https://air.norfolk.gov/#/property/37922800,POINT (-76.23078788 36.93736857)
,ZP24-01084,710 ELIZABETH RIVER CIRCLE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,1,2,12/20/2024,12/20/2026,Ingleside,4,7,36.84070797,-76.22952721,https://air.norfolk.gov/#/property/02446750,POINT (-76.22952721 36.84070797)
,ZP25-00453,1230 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/10/2025,03/10/2027,Cottage Line,5,6,36.94483115,-76.23610669,https://air.norfolk.gov/#/property/05477200,POINT (-76.23610669 36.94483115)
,ZP24-00851,8580 WAYLAND STREET,Norfolk,Virginia,,Single-family,Vacation Rental,administrative,3,6,11/04/2024,11/04/2026,Bayview,5,6,36.93341123,-76.24184229,https://air.norfolk.gov/#/property/14229300,POINT (-76.24184229 36.93341123)
